gencode,strat,n,wavdns,se_wdns,wcv_dns,wavp,se_wp,abd,se_abd
ACAS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ACSP,4,18,0.0030,0.0030,99.96,0.0303,0.0303,1175.00,1174.50
ALSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ASSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
COES,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
COSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
CYPS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
CYSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
DIAS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
DISP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ECHL,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ECHP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
EUSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
FASP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
FAVS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
FUSP,4,18,0.0025,0.0025,99.95,0.0250,0.0250,968.75,968.25
GARS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
GASP,4,18,0.0038,0.0038,99.97,0.0379,0.0379,1468.75,1468.25
GONS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HASP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HERS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
HYSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
ISSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LEPS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LEPT,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LESP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
LOBS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MESP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MISP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MONS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
MOSP,4,18,0.0156,0.0062,39.48,0.1561,0.0616,6050.00,2388.58
OXSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PACS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PAVS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLER,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLES,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PLSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
POCS,4,18,0.0097,0.0057,58.51,0.0823,0.0493,3764.93,2202.95
POSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
PSSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SASP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SCAS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SESP,4,18,0.0025,0.0025,99.95,0.0250,0.0250,968.75,968.25
STSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
SYSP,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00
TURS,4,18,0.0000,0.0000,0.00,0.0000,0.0000,0.00,0.00