SITE,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,SITEVISITID,METHOD,REGION_NAME,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,DATE_.x,LATITUDE.x,LONGITUDE.x,DEPTH,ANALYSIS_SCHEME,Watershed,fishSuscept,RICHNESS
TUT-00219,2010,SAMOA,Tutuila,Forereef,Mid,2337,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-03-07,-14.23619,-170.66936,15,TUT10_12,Vatia,2.63847583643123,68
TUT-00236,2010,SAMOA,Tutuila,Forereef,Mid,2220,nSPC,American Samoa,TUT_NE,2010,ForereefMid,2010-02-23,-14.24653,-170.66848,13,TUT10_12,Vatia,3.17283950617284,57
TUT-00379,2010,SAMOA,Tutuila,Forereef,Deep,2222,nSPC,American Samoa,TUT_NE,2010,ForereefDeep,2010-02-23,-14.22971,-170.67082,22.5,TUT10_12,Vatia,1.59941520467836,71
TUT-00491,2010,SAMOA,Tutuila,Forereef,Deep,2336,nSPC,American Samoa,TUT_NE,2010,ForereefDeep,2010-03-07,-14.24515,-170.67088,21,TUT10_12,Vatia,2.40760869565217,37
TUT-00516,2012,SAMOA,Tutuila,Forereef,Deep,4519,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-04,-14.23415777,-170.66948692,22.1,TUT10_12,Vatia,3.05442176870748,54
TUT-00551,2012,SAMOA,Tutuila,Forereef,Shallow,4399,nSPC,American Samoa,TUT_SE,2012,ForereefShallow,2012-03-25,-14.29116804,-170.67448287,3.45,TUT10_12,Faga'alu,3.11,34
TUT-00624,2012,SAMOA,Tutuila,Forereef,Deep,4610,nSPC,American Samoa,TUT_SE,2012,ForereefDeep,2012-04-09,-14.29230571,-170.67551518,26.35,TUT10_12,Faga'alu,3.16042780748663,38
TUT-00637,2012,SAMOA,Tutuila,Forereef,Shallow,4635,nSPC,American Samoa,TUT_SE,2012,ForereefShallow,2012-04-10,-14.29038668,-170.67546162,3.3,TUT10_12,Faga'alu,2.64772727272727,33
TUT-00691,2012,SAMOA,Tutuila,Forereef,Deep,4496,nSPC,American Samoa,TUT_NE,2012,ForereefDeep,2012-04-04,-14.23845073,-170.66871897,26.6,TUT10_12,Vatia,2.91948051948052,35
TUT-00704,2012,SAMOA,Tutuila,Forereef,Shallow,4609,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-09,-14.29315371,-170.67527353,2.1,RAMP_BASIC,Faga'alu,2.43122676579926,59
TUT-00707,2012,SAMOA,Tutuila,Forereef,Deep,4597,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-08,-14.29205685,-170.67596261,21.2,RAMP_BASIC,Faga'alu,2.67543859649123,26
TUT-00708,2012,SAMOA,Tutuila,Forereef,Mid,4607,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-09,-14.29180825,-170.67634667,14.05,RAMP_BASIC,Faga'alu,2.53496503496504,44
TUT-00718,2012,SAMOA,Tutuila,Forereef,Shallow,4622,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-09,-14.28981872,-170.67683273,2.15,RAMP_BASIC,Faga'alu,2.97987927565392,36
TUT-00720,2012,SAMOA,Tutuila,Forereef,Deep,4637,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-10,-14.28999113,-170.67581442,27.85,RAMP_BASIC,Faga'alu,2.38028169014085,27
TUT-00726,2012,SAMOA,Tutuila,Forereef,Deep,4631,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-10,-14.28969861,-170.67747931,18,RAMP_BASIC,Faga'alu,2.6271186440678,31
TUT-00729,2012,SAMOA,Tutuila,Forereef,Mid,4621,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-09,-14.28953826,-170.67643099,10.5,RAMP_BASIC,Faga'alu,2.92565055762082,38
TUT-00730,2012,SAMOA,Tutuila,Forereef,Shallow,4633,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-10,-14.28945218,-170.67844835,3.45,RAMP_BASIC,Faga'alu,2.64166666666667,46
TUT-00731,2012,SAMOA,Tutuila,Forereef,Deep,4632,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-10,-14.28918496,-170.67678898,19.45,RAMP_BASIC,Faga'alu,2.64285714285714,25
TUT-00735,2012,SAMOA,Tutuila,Forereef,Mid,4614,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-09,-14.28832439,-170.67781048,8.5,RAMP_BASIC,Faga'alu,2.61650485436893,34
TUT-00736,2012,SAMOA,Tutuila,Forereef,Mid,4613,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-09,-14.28824694,-170.67722199,10.75,RAMP_BASIC,Faga'alu,2.25764192139738,37
TUT-00739,2012,SAMOA,Tutuila,Forereef,Deep,4615,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-09,-14.2877328,-170.67591215,23.9,RAMP_BASIC,Faga'alu,3.05392156862745,37
TUT-00741,2012,SAMOA,Tutuila,Forereef,Shallow,4638,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-10,-14.28734128,-170.67526867,2.75,RAMP_BASIC,Faga'alu,2.70081967213115,48
TUT-00753,2012,SAMOA,Tutuila,Forereef,Mid,4595,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-08,-14.2946156,-170.67512098,12.65,RAMP_BASIC,Faga'alu,2.59315589353612,40
TUT-00762,2012,SAMOA,Tutuila,Forereef,Mid,4594,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-08,-14.29095723,-170.67397987,8,RAMP_BASIC,Faga'alu,2.42328042328042,26
TUT-00764,2012,SAMOA,Tutuila,Forereef,Mid,4611,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-09,-14.29085196,-170.67296591,7.6,RAMP_BASIC,Faga'alu,2.38550724637681,38
TUT-00769,2012,SAMOA,Tutuila,Forereef,Shallow,4612,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-09,-14.29046496,-170.67367502,14.6,RAMP_BASIC,Faga'alu,2.56930693069307,38
TUT-00777,2012,SAMOA,Tutuila,Forereef,Deep,4593,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-08,-14.28702511,-170.67426092,23.05,RAMP_BASIC,Faga'alu,2.38333333333333,37
TUT-00778,2012,SAMOA,Tutuila,Forereef,Mid,4616,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-09,-14.2862627,-170.67398909,17.1,RAMP_BASIC,Faga'alu,2.08403361344538,35
TUT-00779,2012,SAMOA,Tutuila,Forereef,Shallow,4620,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-09,-14.28594846,-170.67401541,2.4,RAMP_BASIC,Faga'alu,3.17300380228137,45
TUT-00782,2012,SAMOA,Tutuila,Forereef,Mid,4619,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-09,-14.28508009,-170.67411121,8.4,RAMP_BASIC,Faga'alu,3.04953560371517,36
TUT-00801,2012,SAMOA,Tutuila,Forereef,Mid,4499,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.24658218,-170.66703706,8.35,RAMP_BASIC,Vatia,1.36271186440678,56
TUT-00802,2012,SAMOA,Tutuila,Forereef,Mid,4507,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.24866802,-170.6708986,10.9,RAMP_BASIC,Vatia,2.64186046511628,51
TUT-00803,2012,SAMOA,Tutuila,Forereef,Mid,4558,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.23598636,-170.66908484,16.35,RAMP_BASIC,Vatia,2.9290780141844,57
TUT-00804,2012,SAMOA,Tutuila,Forereef,Mid,4560,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24062952,-170.66921308,7.1,RAMP_BASIC,Vatia,2.295,53
TUT-00807,2012,SAMOA,Tutuila,Forereef,Mid,4555,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24685241,-170.66428075,11.1,RAMP_BASIC,Vatia,2.4983164983165,45
TUT-00808,2012,SAMOA,Tutuila,Forereef,Mid,4498,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.24652258,-170.66799871,7.8,RAMP_BASIC,Vatia,1.75503355704698,48
TUT-00809,2012,SAMOA,Tutuila,Forereef,Mid,4554,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24601397,-170.67204357,7.3,RAMP_BASIC,Vatia,2.27152317880795,49
TUT-00810,2012,SAMOA,Tutuila,Forereef,Deep,4517,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-04,-14.2452228,-170.67081679,18.9,RAMP_BASIC,Vatia,2.11888111888112,30
TUT-00811,2012,SAMOA,Tutuila,Forereef,Deep,4505,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-04,-14.23954641,-170.66860724,26.55,RAMP_BASIC,Vatia,2.28089887640449,67
TUT-00812,2012,SAMOA,Tutuila,Forereef,Deep,4549,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-06,-14.2459589,-170.66869257,21.95,RAMP_BASIC,Vatia,2.33870967741935,49
TUT-00813,2012,SAMOA,Tutuila,Forereef,Mid,4515,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.24659643,-170.66525196,12.55,RAMP_BASIC,Vatia,2.52852852852853,48
TUT-00814,2012,SAMOA,Tutuila,Forereef,Mid,4521,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.23288187,-170.67012973,14.75,RAMP_BASIC,Vatia,2.59305993690852,32
TUT-00815,2012,SAMOA,Tutuila,Forereef,Mid,4509,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.2461775,-170.66194111,11.9,RAMP_BASIC,Vatia,2.67602040816327,65
TUT-00817,2012,SAMOA,Tutuila,Forereef,Deep,4508,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-04,-14.24566805,-170.66590935,22.1,RAMP_BASIC,Vatia,2.30769230769231,63
TUT-00819,2012,SAMOA,Tutuila,Forereef,Deep,4511,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-04,-14.24512029,-170.66165948,27.35,RAMP_BASIC,Vatia,2.98081534772182,42
TUT-00820,2012,SAMOA,Tutuila,Forereef,Deep,4552,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-06,-14.2472244,-170.66957853,19.8,RAMP_BASIC,Vatia,2.39716312056738,33
TUT-00821,2012,SAMOA,Tutuila,Forereef,Deep,4500,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-04,-14.24545758,-170.67125575,18.8,RAMP_BASIC,Vatia,2.83783783783784,45
TUT-00822,2012,SAMOA,Tutuila,Forereef,Mid,4553,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24029885,-170.66901309,14.4,RAMP_BASIC,Vatia,2.49539170506912,56
TUT-00823,2012,SAMOA,Tutuila,Forereef,Shallow,4522,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-04,-14.24710177,-170.66720872,5.25,RAMP_BASIC,Vatia,1.80511182108626,40
TUT-00824,2012,SAMOA,Tutuila,Forereef,Mid,4514,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.23147522,-170.67021681,17.2,RAMP_BASIC,Vatia,2.77797202797203,53
TUT-00825,2012,SAMOA,Tutuila,Forereef,Shallow,4516,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-04,-14.24979706,-170.67197458,3.1,RAMP_BASIC,Vatia,1.45398773006135,39
TUT-00826,2012,SAMOA,Tutuila,Forereef,Mid,4510,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.24661043,-170.66245341,9.45,RAMP_BASIC,Vatia,2.61882352941176,56
TUT-00828,2012,SAMOA,Tutuila,Forereef,Mid,4497,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.22953272,-170.67104545,10.75,RAMP_BASIC,Vatia,3.12691466083151,46
TUT-00831,2012,SAMOA,Tutuila,Forereef,Deep,4513,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-04,-14.2373097,-170.66818479,23.75,RAMP_BASIC,Vatia,2.28758169934641,42
TUT-00832,2012,SAMOA,Tutuila,Forereef,Mid,4546,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.23607622,-170.6700268,9.45,RAMP_BASIC,Vatia,2.90873015873016,39
TUT-00833,2012,SAMOA,Tutuila,Forereef,Mid,4571,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24175814,-170.66943956,7.5,RAMP_BASIC,Vatia,2.87228260869565,39
TUT-00835,2012,SAMOA,Tutuila,Forereef,Mid,4570,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.2442847,-170.66945096,11.4,RAMP_BASIC,Vatia,1.93273542600897,36
TUT-00836,2012,SAMOA,Tutuila,Forereef,Mid,4545,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.23703067,-170.67031983,6.85,RAMP_BASIC,Vatia,3.02657004830918,33
TUT-00837,2012,SAMOA,Tutuila,Forereef,Mid,4520,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-04,-14.24721392,-170.66910479,11.6,RAMP_BASIC,Vatia,2.57894736842105,44
TUT-00838,2012,SAMOA,Tutuila,Forereef,Deep,4518,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefDeep,2012-04-04,-14.24779278,-170.67033332,22.1,RAMP_BASIC,Vatia,2.55714285714286,26
TUT-00839,2012,SAMOA,Tutuila,Forereef,Shallow,4562,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-06,-14.24344969,-170.66977894,11.85,RAMP_BASIC,Vatia,2.73493975903614,57
TUT-00841,2012,SAMOA,Tutuila,Forereef,Shallow,4548,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-06,-14.24255803,-170.6702122,4.1,RAMP_BASIC,Vatia,2.44267515923567,33
TUT-00849,2012,SAMOA,Tutuila,Forereef,Shallow,4561,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-06,-14.24306999,-170.67048998,3.5,RAMP_BASIC,Vatia,2.06164383561644,35
TUT-00853,2012,SAMOA,Tutuila,Forereef,Mid,4568,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.23843606,-170.67022495,8.05,RAMP_BASIC,Vatia,3.3030303030303,29
TUT-00866,2012,SAMOA,Tutuila,Forereef,Mid,4556,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.23808025,-170.66945993,11.7,RAMP_BASIC,Vatia,3.37246376811594,47
TUT-00870,2012,SAMOA,Tutuila,Forereef,Mid,4550,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.2466375,-170.66541767,9.25,RAMP_BASIC,Vatia,2.4618320610687,42
TUT-00871,2012,SAMOA,Tutuila,Forereef,Shallow,4501,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-04,-14.24894764,-170.67405304,3.75,RAMP_BASIC,Vatia,2.10837438423645,37
TUT-00875,2012,SAMOA,Tutuila,Forereef,Shallow,4506,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-04,-14.23566182,-170.67049526,7.65,RAMP_BASIC,Vatia,2.08727272727273,38
TUT-00876,2012,SAMOA,Tutuila,Forereef,Shallow,4512,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-04,-14.24690245,-170.66191454,4.25,RAMP_BASIC,Vatia,2.53072625698324,27
TUT-00877,2012,SAMOA,Tutuila,Forereef,Mid,4567,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24740344,-170.66395092,8.85,RAMP_BASIC,Vatia,1.49473684210526,46
TUT-00882,2012,SAMOA,Tutuila,Forereef,Mid,4547,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24430213,-170.67031354,6.7,RAMP_BASIC,Vatia,1.32704402515723,27
TUT-00886,2012,SAMOA,Tutuila,Forereef,Mid,4563,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.24405009,-170.67061093,4.55,RAMP_BASIC,Vatia,1.014440433213,34
TUT-00890,2012,SAMOA,Tutuila,Forereef,Mid,4559,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefMid,2012-04-06,-14.23791806,-170.66904368,12.5,RAMP_BASIC,Vatia,3.37003610108303,43
TUT-00899,2012,SAMOA,Tutuila,Forereef,Shallow,4564,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-06,-14.24752984,-170.67353814,3.5,RAMP_BASIC,Vatia,1.16521739130435,28
TUT-00916,2012,SAMOA,Tutuila,Forereef,Shallow,4551,nSPC,American Samoa,VATIA_FAGAALU,2012,ForereefShallow,2012-04-06,-14.24782496,-170.66946278,4.5,RAMP_BASIC,Vatia,1.83177570093458,47
TUT-01081,2015,SAMOA,Tutuila,Forereef,Deep,8130,nSPC,American Samoa,TUT_NE,2015,ForereefDeep,2015-02-27,-14.24473406,-170.66175621,26.5,AS_SANCTUARY,Vatia,2.36458333333333,60
TUT-01099,2015,SAMOA,Tutuila,Forereef,Mid,8129,nSPC,American Samoa,TUT_NE,2015,ForereefMid,2015-02-27,-14.24523437,-170.67122256,12,AS_SANCTUARY,Vatia,2.4578313253012,44
TUT-01117,2015,SAMOA,Tutuila,Forereef,Deep,8134,nSPC,American Samoa,TUT_NE,2015,ForereefDeep,2015-02-27,-14.2497031,-170.65783625,23.05,AS_SANCTUARY,Vatia,2.6360153256705,44
TUT-02310,2016,SAMOA,Tutuila,Forereef,Deep,9471,nSPC,American Samoa,TUT_NE,2016,ForereefDeep,2016-04-29,-14.244918,-170.660984,20,AS_SANCTUARY,Vatia,2.61712846347607,63
TUT-02324,2016,SAMOA,Tutuila,Forereef,Mid,9462,nSPC,American Samoa,TUT_NE,2016,ForereefMid,2016-04-29,-14.250376,-170.658847,12.8,AS_SANCTUARY,Vatia,2.87313432835821,43
